,District,Neighborhood,Furnished,Available for Loan,Elevator,Household appliances,Air conditioning,Terrace,Washing Machine,Laundry room,Closed Garage,Parking Lot,Kitchen,Next to sea shore,Hospital,High school,Market,Police station,Gym,Primary School-Secondary School,Highway,Airport,Metro,Bus stop,Sea,City,Top floor,Ground floor,sqrt_m2,totalrooms,buildingage,floorloc,numberoffloors,bathroom_count,has_balcony,heating_grouped,distgrouped,price_updated,district_encoded,price_per_m2,security_features,water_features,cephe_yonu,toplam_cephe,sanitasyon_score,banyo_durumu,havuz_tipi,havuz_var,luxury_pool_score,is_smart_home,luxury_score,smart_home_impact
2802,Arnavutköy,Anadolu Mah.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.488088481701515,3.0,7.5,5.0,5,1,1.0,natural_gas,Arnavutköy,4600000.0,298698.1409736308,41818.181818181816,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2803,Arnavutköy,Arnavutköy Merkez Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,4.0,3.0,5,1,1.0,natural_gas,Arnavutköy,5700000.0,298698.1409736308,57000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2804,Arnavutköy,Dursunköy Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.488088481701515,4.0,0.0,2.0,5,1,1.0,natural_gas,Arnavutköy,7300000.0,298698.1409736308,66363.63636363637,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2805,Arnavutköy,Haraççı Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,10.488088481701515,3.0,2.0,3.0,5,1,1.0,natural_gas,Arnavutköy,5500000.0,298698.1409736308,50000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2806,Arnavutköy,Haraççı Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,10.0,3.0,1.0,2.0,30,1,1.0,natural_gas,Arnavutköy,5300000.0,298698.1409736308,53000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2807,Arnavutköy,İslambey Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,0.0,2.0,30,1,1.0,natural_gas,Arnavutköy,6000000.0,298698.1409736308,60000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2808,Arnavutköy,İslambey Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,0.0,2.0,30,1,1.0,natural_gas,Arnavutköy,6000000.0,298698.1409736308,60000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2809,Arnavutköy,Mareşal Fevzi Çakmak Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.488088481701515,4.0,4.0,1.0,2,2,1.0,natural_gas,Arnavutköy,10000000.0,298698.1409736308,90909.09090909093,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2810,Ataşehir,Fetih Mah.,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.723805294763608,3.0,18.0,2.0,4,1,1.0,natural_gas,Ataşehir,6000000.0,663389.644803229,52173.91304347826,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2811,Ataşehir,İnönü Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,4.0,3.0,4.0,5,2,1.0,natural_gas,Ataşehir,8200000.0,663389.644803229,82000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2812,Avcılar,Ambarlı Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.488088481701515,3.0,23.0,0.0,4,1,1.0,natural_gas,Avcılar,4740000.0,423310.2821031345,43090.90909090909,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2813,Avcılar,Ambarlı Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,4.0,23.0,-2.0,5,1,0.0,natural_gas,Avcılar,3600000.0,423310.2821031345,36000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2814,Avcılar,Cihangir Mah.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.488088481701515,3.0,28.0,0.5,4,1,1.0,natural_gas,Avcılar,3580000.0,423310.2821031345,32545.454545454544,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2815,Avcılar,Denizköşkler Mh.,No,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.488088481701515,4.0,0.0,2.0,4,1,1.0,natural_gas,Avcılar,11600000.0,423310.2821031345,105454.54545454546,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
